name,smiles
3-decyl-1-methyl-1H-imidazolium,c1c[n+](cn1CCCCCCCCCC)C
1-methyl-3-(4-sulfobutyl)-imidazolium,O=S(=O)(O)CCCCn1cc[n+](c1)C
1-butyl-3-(4-sulfobutyl)-imidazolium,O=S(=O)(O)CCCC[n+]1ccn(c1)CCCC
1-butyl-3-(3-sulfopropyl)-imidazolium,CCCCn1cc[n+](c1)CCCS(=O)(=O)[O-]
1-methyl-3-(3-sulfopropyl)-imidazolium,O=S(=O)(O)CCCn1cc[n+](c1)C
"N,N,N-triethyl-2-methoxyethan-1-aminium",CC[N+](CC)(CC)CCOC
"N,N-diethyl-N-methylpropan-1-aminium",CCC[N+](C)(CC)CC
"N,N-diethyl-N-methylbutan-1-aminium",CC[N+](C)(CC)CCC(C)
"2-methoxy-N,N,N-trimethylethan-1-aminium",C[N+](C)(C)CCOC
"2-methoxy-N-ethyl-N,N-dimethylethan-1-aminium",C[N+](CC)(C)CCOC
"N-ethyl-2-methoxy-N,N-dimethylethan-1-aminium",C[N+](CC)(C)CCOC
1-[2-(ethylsulfonyl)ethyl]-3-methyl-1H-imidazol-3-ium,O=S(=O)(CC)CCn1cc[n+](c1)C
2-methylbutylammonium,[NH3+]CC(C)CC
"1-phenyl-2-butyl-3,5-dimethylpyrazolium",C2=CC=CC=C2[N+]1=C(C)(C=C(N1CCCC)C)
"1-phenyl-3,5-dimethyl-2-heptylpyrazolium",C2=CC=CC=C2[N+]1=C(C)(C=C(N1CCCCCCC)C)
(ethoxymethyl)triethylphosphonium,[P+](CC)(CC)(CC)COCC
"1-phenyl-3,5-dimethyl-2-pentylpyrazolium",C2=CC=CC=C2[N+]1=C(C)(C=C(N1CCCCC)C)
"1-phenyl-3,5-dimethyl-2-hexylpyrazolium",C2=CC=CC=C2[N+]1=C(C)(C=C(N1CCCCCC)C)
1-(2-(2-methoxyethoxy)ethyl)-3-methylimidazolium,[N+](CCOCCOC)1=C(N(C)C(=C1))
"2,3,5-trimethyl-1-propyl-1H-pyrazolium",C[N+]1=C(C)(C=C(N1CC)C)
(buten-1-yl)triethylphosphonium,[P+](CC)(CC)(CC)CCCC
(3-aminopropyl)tributylphosphonium,[P+](CCCC)(CCCC)(CCCC)CCCN
trihexyl(isobutyl)phosphonium,[P+](CC(C)C)(CCCCCC)(CCCCCC)CCCCCC
2-(ethoxymethyl)-1-ethyl-3-methylimidazolium,C1=C[N+](C)=C(COCC)N1CC
1-butyl-2-methylpyrazolium,CCCC[N+]1=C(C=C(N1C))
1-butyl-3-pentylimidazolium,c1c[n+](cn1CCCC)CCCCC
1-butyl-3-isopentylimidazolium,c1c[n+](cn1CCCC)CCC(C)C
1-(2-cyanoethyl)-3-(phenylmethyl)-1H-imidazolium,c1cn(c([n+]1Cc2ccccc2))CCC#N
"N-ethyl-N,N-dimethyl-2- methoxyethylammonium",COCC[N+](C)(C)CC
"S-hexyl-1,1,3,3-tetramethylthiouronium",CCCCCCSC(N(C)(C))=[N+](C)C
1-cyclopentyl-3-butylimidazolium,c1cn(c([n+]1C2CCCC2))CCCC
1-methyl-3-(1-methylethyl)imidazolium,c1cn(c([n+]1C(C)(C)))C
1-(5-methylhexyl)-3-methylimidazolium,c1cn(c([n+]1C))CCCCC(C)C
1-allyl-3-methyl-1H-imidazolium,c1cn(c([n+]1C))CC=C
4-(3-hydroxypropyl)-4-methylmorpholinium,O(CCC[N+]1(C)CCOCC1)
"n-butyl-4-(n',n'-dimethylammonium)pyridinium",CCCC[n+]1ccc(N(C)C)c(c1)
"S-octyl-1,1,3,3-tetramethylthiouronium",CCCCCCCCSC(N(C)C)(=[N+](C)C)
1-butylthianium,CCCC[S+]1CCCCC1
1-octyl-3-methylpydridinium,c1c(C)c[n+](cc1)CCCCCCCC
1-hexyl-3-methyl-4-(dimethylamino)pyridinium,CN(C)c1c(C)c[n+](cc1)CCCCCC
1-hexyl-4-(4-methyl-1-piperidinyl)pyridinium,C2(C)CCN(CC2)c1cc[n+](cc1)CCCCCC
